Uploaded Date,Date Collected,Engagement Date,Data Collector,Project Name,Country Name,County Name,Subcounty Name,Engagement Venue,Engagement Type,Other Engagement Type,Policy Issue,Other Policy Issue,Total Participants,Key Participants,Male Participants,Female Participants,Youth Participants,Photo,Comment
2024-05-18 12:28:04,2024-05-18,2024-05-18,Lilian Kilori,UKPact_NbS,Kenya,Taita Taveta,Taveta,kimala social hall,WORKSHOP_PERSON,,NATIONAL_POLICY,,292,Area Chief Ass Chief And Local Leadera,139,153,72,https://radrs.icraf.org/uploaded/media/JPEG_e41b48b3-087d-4da6-b73f-3d4fda614fbd_6819559576679232706.jpg,the meeting was well organized 
2024-06-12 15:45:18,2024-06-12,2024-06-12,Opportuna Majala,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Njawuli Catholic church ,TRAINING - WORKSHOP_PERSON,,SCALING,,30,CFA County Government Of Taita Taveta,13,17,1,https://radrs.icraf.org/uploaded/media/JPEG_8983a9c7-e136-4009-9ba2-fafeb567c4af_7994083385734402299.jpg,participants embraced the GESI trainings
2024-06-12 14:39:40,2024-06-12,2024-06-12,Clemence Mnyika,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mwanda Kishamba ,TRAINING - WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - LOCAL_GOVERNANCE,Gender and social inclusion mainstreaming in land restoration ,33,County Government Of Taita Taveta Vuria Community Forest CIFOR ICRAF ,12,14,7,https://radrs.icraf.org/uploaded/media/JPEG_beee2f7d-7a8d-464c-af6c-49af8e94a71c_6217233978426104422.jpg,"Female youth 2
Male youth 5"
2024-06-15 09:53:19,2024-06-15,2024-06-14,Clemence Mnyika,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mghange Nyika ,TRAINING - WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - LOCAL_GOVERNANCE,Gender and social inclusion mainstreaming in Vuria community forest association ,36,Vuria Community Forest Association County Government Of Taita Taveta National Government Of Kenya ICRAF,18,8,10,https://radrs.icraf.org/uploaded/media/JPEG_7c067f27-e5e6-48d8-917f-5c87e7ec963d_6989415622914267549.jpg,Great discussions during the engagements 
2024-06-19 14:17:58,2024-06-19,2024-06-19,Josephine Righa,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mgange Dawida VURIA CFA,TRAINING - WORKSHOP_PERSON,,SCALING,,33,Community Members ,16,17,2,https://radrs.icraf.org/uploaded/media/JPEG_5a666da2-2b97-4111-959a-5d192d508a69_2157288290308198068.jpg,Training turnup was good and every member was a good participant in every session we went through 
2024-06-19 21:48:01,2024-06-19,2024-06-19,Ernest Maghanga,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,mgange dawida,TRAINING - WORKSHOP_PERSON,,SCALING,,30,ICRAF CGTT MCA,16,14,6,https://radrs.icraf.org/uploaded/media/JPEG_93adcc54-126c-497b-ba24-de15142ccf71_7921594234143256407.jpg,At least there was gender equity in the house
2024-06-27 16:09:35,2024-06-25,2024-06-25,Eugene Mbogholi,UKPact_NbS,Kenya,Taita Taveta,Mwatate,ACK mazola Mwatate,WORKSHOP_PERSON,,SCALING,,34,CFA County Government Of Taita Taveta   ,15,16,3,https://radrs.icraf.org/uploaded/media/JPEG_66e9d115-7570-4064-8921-ed3ce57014c5_6602041179478165118.jpg,GESI training well conducted 
2024-06-26 15:40:28,2024-06-26,2024-06-26,Adelaida Manyata,UKPact_NbS,Kenya,Taita Taveta,Mwatate,Mwawache Primary ,WORKSHOP_PERSON - TRAINING,,SCALING,,30,CFA County Government of Taita Taveta ,15,14,1,https://radrs.icraf.org/uploaded/media/JPEG_fa041833-63cd-45b0-abc3-5cd43e18cbb1_3409270025859497933.jpg,no plwd
2024-06-27 16:09:38,2024-06-27,2024-06-27,Eugene Mbogholi,UKPact_NbS,Kenya,Taita Taveta,Mwatate,mwawache primary,WORKSHOP_PERSON - TRAINING,,SCALING,,32,Chawia CFA  Taita Taveta County Government  Interior ,16,15,1,https://radrs.icraf.org/uploaded/media/JPEG_f3a0dc31-b6b4-4a47-a235-d9e6349ce53b_8676955324231148927.jpg,2 day well organised educational training thanks to ICRAF for the impact to our future community 
2024-09-11 13:02:58,2024-08-12,2024-08-12,Mwadime Kishiki,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mbaramghondi,FIELD_TRIP,Village Baraza,LOCAL_GOVERNANCE,,30,AWF,13,17,5,https://radrs.icraf.org/uploaded/media/JPEG_986db808-505a-4c3a-8358-5404f2094cf5_6403796989929570177.jpg,gender well represented
2024-08-13 12:46:31,2024-08-12,2024-08-12,Eugene Mbogholi,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mwangea Primary,WORKSHOP_PERSON,,SCALING,,66,Taita Taveta County Government ICRAF CFA Interior ,20,44,2,https://radrs.icraf.org/uploaded/media/JPEG_7b13d7f1-51d9-4a2a-a9f3-fa78244e717b_1603899659832561222.jpg,CFA reactivation training
2024-08-13 12:45:43,2024-08-13,2024-08-13,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Ngeti village training ,TRAINING,,LOCAL_GOVERNANCE - BUILDING_RELATIONSHIPS,,45,Awf Icraf CFA Intiria,15,30,13,https://radrs.icraf.org/uploaded/media/JPEG_b0095aa9-7233-4642-ba66-bf85648669f5_4536856200830462534.jpg,the turn up was good and the team was attentive 
2024-08-14 12:04:24,2024-08-14,2024-08-14,Dickson NGATI,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Lashu,WORKSHOP_PERSON - TRAINING,,LOCAL_GOVERNANCE,,32,ICRAF NATURE KENYA COUNTY GOVERNMENT OF TAITA TAVETA VURIA CFA INTERIOR AND COORDINATION ,15,17,3,https://radrs.icraf.org/uploaded/media/JPEG_899c794a-0b03-46d9-8ece-ea5c4a37de8e_764784174563162641.jpg,The engagement has come at the right time since there is need to reorganize the VURIA CFA
2024-08-15 11:54:18,2024-08-15,2024-08-15,Dickson NGATI,UKPact_NbS,Kenya,Taita Taveta,Mwatate,Mwambeta Village ,TRAINING - WORKSHOP_PERSON,,LOCAL_GOVERNANCE,,17,County GOVERNMENT OF TAITA TAVETA ICRAF VURIA CFA NATIONAL GOVERNMENT ADMINSTRATION KFS ,8,9,5,https://radrs.icraf.org/uploaded/media/JPEG_129dc4de-1229-4db2-a694-98b5910505b8_1254057708989532987.jpg,The attendance was affected a funeral nearby the meeting Venue and an organized youth meeting at Mwasange 
2024-08-16 11:58:13,2024-08-15,2024-08-15,Thomas Msagha,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mwambeta Village,WORKSHOP_PERSON - TRAINING,,BUILDING_RELATIONSHIPS - LOCAL_GOVERNANCE,,27,County Government ICRAF Vuria CFA,9,15,3,https://radrs.icraf.org/uploaded/media/JPEG_952a215e-05e9-4b2e-ba85-2844dd7a3f00_4893241409610642245.jpg,The engagement was successful
2024-08-15 12:03:52,2024-08-15,2024-08-15,Thomas Msagha,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mwambeta Village,WORKSHOP_PERSON - TRAINING,,BUILDING_RELATIONSHIPS - LOCAL_GOVERNANCE,,27,County Government ICRAF Vuria CFA,9,15,3,https://radrs.icraf.org/uploaded/media/JPEG_952a215e-05e9-4b2e-ba85-2844dd7a3f00_4893241409610642245.jpg,The engagement was successful
2024-08-16 11:58:14,2024-08-16,2024-08-16,Thomas Msagha,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Chimbi Village,WORKSHOP_ONLINE - WORKSHOP_PERSON - TRAINING,,LOCAL_GOVERNANCE,,40,County Government CFA Interior,19,14,7,https://radrs.icraf.org/uploaded/media/JPEG_556cd1f1-6b52-4335-8a0b-d7bfcb3919ab_8850243574404158356.jpg,The engagement was successful
2024-08-26 23:26:38,2024-08-16,2024-08-16,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,mwanda chimbi village ,TRAINING,,LOCAL_GOVERNANCE - BUILDING_RELATIONSHIPS - SCALING,,38,ICRAF County of Taita Taveta CFA AWF,19,19,0,https://radrs.icraf.org/uploaded/media/JPEG_65119032-07b7-456c-a978-f0be3957c8a0_7961972110604361602.jpg,community was well ingeged and also interactive positive response 
2024-08-26 23:26:39,2024-08-19,2024-08-19,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Kisangarinyi,WORKSHOP_PERSON - TRAINING,,BUILDING_RELATIONSHIPS - LOCAL_GOVERNANCE - SCALING,,48,County Government Icraf CFA Interior ,12,36,0,https://radrs.icraf.org/uploaded/media/JPEG_101528fc-d35c-4635-bdc6-2c91d6a3c30b_171418430913901328.jpg,engagement was good 
2024-08-20 13:32:35,2024-08-20,2024-08-20,Thomas Msagha,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mgange CBO,WORKSHOP_PERSON - TRAINING,Elections,SUB_NATIONAL_POLICY - LOCAL_GOVERNANCE,,91,CFA County Government Interior,46,46,5,https://radrs.icraf.org/uploaded/media/JPEG_88ec16f1-e25e-4091-9b25-26f3e1457e7c_4585042298775092570.jpg,Free and fair elections conducted
2024-09-10 12:56:23,2024-09-02,2024-09-02,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mwanda location ,TRAINING,,LOCAL_GOVERNANCE,House hold Installation ,25,Community CFA GIZ Macycoop,5,20,0,https://radrs.icraf.org/uploaded/media/JPEG_ee9c10ed-e3fd-4a48-b226-efdaecbe3f49_5351808029239183896.jpg,
2024-09-08 23:18:11,2024-09-02,2024-09-02,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mwanda location ,TRAINING,,LOCAL_GOVERNANCE,House hold Installation ,25,Community CFA GIZ Macycoop,5,20,0,https://radrs.icraf.org/uploaded/media/JPEG_ee9c10ed-e3fd-4a48-b226-efdaecbe3f49_5351808029239183896.jpg,
2024-09-08 23:18:31,2024-09-02,2024-09-02,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mwanda location ,TRAINING,,LOCAL_GOVERNANCE,House hold Installation ,25,Community CFA GIZ Macycoop,5,20,0,https://radrs.icraf.org/uploaded/media/JPEG_ee9c10ed-e3fd-4a48-b226-efdaecbe3f49_5351808029239183896.jpg,
2024-09-10 12:56:29,2024-09-02,2024-09-02,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mwanda location ,TRAINING,,LOCAL_GOVERNANCE,House hold Installation ,25,Community CFA GIZ Macycoop,5,20,0,https://radrs.icraf.org/uploaded/media/JPEG_ee9c10ed-e3fd-4a48-b226-efdaecbe3f49_5351808029239183896.jpg,
2024-09-10 12:56:31,2024-09-02,2024-09-02,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mwanda location ,TRAINING,,LOCAL_GOVERNANCE,House hold Installation ,25,Community CFA GIZ Macycoop,5,20,0,https://radrs.icraf.org/uploaded/media/JPEG_ee9c10ed-e3fd-4a48-b226-efdaecbe3f49_5351808029239183896.jpg,
2024-09-10 12:56:36,2024-09-02,2024-09-02,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mwanda location ,TRAINING,,LOCAL_GOVERNANCE,House hold Installation ,25,Community CFA GIZ Macycoop,5,20,0,https://radrs.icraf.org/uploaded/media/JPEG_ee9c10ed-e3fd-4a48-b226-efdaecbe3f49_5351808029239183896.jpg,
2024-09-10 12:56:37,2024-09-02,2024-09-02,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mwanda location ,TRAINING,,LOCAL_GOVERNANCE,House hold Installation ,25,Community CFA GIZ Macycoop,5,20,0,https://radrs.icraf.org/uploaded/media/JPEG_ee9c10ed-e3fd-4a48-b226-efdaecbe3f49_5351808029239183896.jpg,
2024-09-10 12:56:39,2024-09-02,2024-09-02,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mwanda location ,TRAINING,,LOCAL_GOVERNANCE,House hold Installation ,25,Community CFA GIZ Macycoop,5,20,0,https://radrs.icraf.org/uploaded/media/JPEG_ee9c10ed-e3fd-4a48-b226-efdaecbe3f49_5351808029239183896.jpg,
2024-09-10 12:56:43,2024-09-02,2024-09-02,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mwanda location ,TRAINING,,LOCAL_GOVERNANCE,House hold Installation ,25,Community CFA GIZ Macycoop,5,20,0,https://radrs.icraf.org/uploaded/media/JPEG_ee9c10ed-e3fd-4a48-b226-efdaecbe3f49_5351808029239183896.jpg,
2024-09-10 16:16:42,2024-09-09,2024-09-09,Jackson Nyamai,UKPact_NbS,Kenya,Makueni,Makueni,Mungyani field ground,TRAINING,,SCALING,,36,Muambwani CFA Kalumbi CFA Muambwani Farmers,20,16,12,https://radrs.icraf.org/uploaded/media/JPEG_4e83bf5d-b54b-4fd9-ae55-3a3b850d0aaa_6663365273206144654.jpg,"well received and groups are very responsive
App is appreciated in land restoration practices "
2024-09-09 21:51:09,2024-09-09,2024-05-06,Pamela Mwangemi,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,manbela grounds,WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS,,89,Mwanda Villagers,35,42,12,https://radrs.icraf.org/uploaded/media/JPEG_3f059aa3-2580-4d1a-aac3-50b5c91c2335_6766980458608168809.jpg,members were impressed by the app and promised to use it keep track of their tree planting activit
2024-09-09 23:23:09,2024-09-09,2024-09-05,Jackson Nyamai,UKPact_NbS,Kenya,Makueni,Makueni,Muambwani CA project site,TRAINING,,SCALING,,22,Muambwani CA Muambwani CFA,12,10,6,https://radrs.icraf.org/uploaded/media/JPEG_6d3e7cbf-7b46-4397-a25a-82e585a274b7_3706876629442437846.jpg,"Reception and uptake excellent 
Group members requested more lessons on the Regreening App"
2024-09-10 12:59:48,2024-09-09,2024-09-09,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,mwanda location Kisangarinyi,WORKSHOP_PERSON - TRAINING,,SCALING - BUILDING_RELATIONSHIPS - LOCAL_GOVERNANCE,energy saving installation ,30,GIZ Macy Coop Community and CFA ,7,23,0,https://radrs.icraf.org/uploaded/media/JPEG_2a738bd9-0c94-45eb-af15-cacc0ea36fa6_5818798996004611440.jpg,helping the community to base on clean cooking energy stove in each house hold 
2024-09-10 13:00:24,2024-09-09,2024-09-09,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,mwanda location Kisangarinyi,WORKSHOP_PERSON - TRAINING,,SCALING - BUILDING_RELATIONSHIPS - LOCAL_GOVERNANCE,energy saving installation ,30,GIZ Macy Coop Community and CFA ,7,23,0,https://radrs.icraf.org/uploaded/media/JPEG_2a738bd9-0c94-45eb-af15-cacc0ea36fa6_5818798996004611440.jpg,helping the community to base on clean cooking energy stove in each house hold 
2024-09-10 13:47:15,2024-09-09,2024-09-09,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,mwanda location Kisangarinyi,WORKSHOP_PERSON - TRAINING,,SCALING - BUILDING_RELATIONSHIPS - LOCAL_GOVERNANCE,energy saving installation ,30,GIZ Macy Coop Community and CFA ,7,23,0,https://radrs.icraf.org/uploaded/media/JPEG_2a738bd9-0c94-45eb-af15-cacc0ea36fa6_5818798996004611440.jpg,helping the community to base on clean cooking energy stove in each house hold 
2024-09-10 12:56:38,2024-09-09,2024-09-09,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,mwanda location Kisangarinyi,WORKSHOP_PERSON - TRAINING,,SCALING - BUILDING_RELATIONSHIPS - LOCAL_GOVERNANCE,energy saving installation ,30,GIZ Macy Coop Community and CFA ,7,23,0,https://radrs.icraf.org/uploaded/media/JPEG_2a738bd9-0c94-45eb-af15-cacc0ea36fa6_5818798996004611440.jpg,helping the community to base on clean cooking energy stove in each house hold 
2024-09-10 16:05:05,2024-09-09,2024-09-05,Jackson Nyamai,UKPact_NbS,Kenya,Makueni,Makueni,Muambwani CA project site,TRAINING,,SCALING,,22,Muambwani CA Muambwani CFA,12,10,6,https://radrs.icraf.org/uploaded/media/JPEG_6d3e7cbf-7b46-4397-a25a-82e585a274b7_3706876629442437846.jpg,"Reception and uptake excellent 
Group members requested more lessons on the Regreening App"
2024-09-10 16:46:46,2024-09-10,2024-09-09,Jackson Nyamai,UKPact_NbS,Kenya,Makueni,Makueni,Muambwani CFA,TRAINING,,SCALING,,0,Muambwani CFA Kithembeoni Youth Katundu Youth,0,0,0,None,None
2024-09-10 12:57:59,2024-09-10,2024-09-10,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Lavender hotel Wundanyi ,TRAINING - WORKSHOP_PERSON,,LOCAL_GOVERNANCE - SCALING - SUB_NATIONAL_POLICY - BUILDING_RELATIONSHIPS,reviewing of Taita Taveta forest policy,45,County government Nature Kenya  CFA Community ,22,23,0,https://radrs.icraf.org/uploaded/media/JPEG_bd6069da-b3b4-40a2-9019-0129976d854e_732237577239593131.jpg,
2024-09-10 13:47:20,2024-09-10,2024-09-10,eltruder mbele,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Lavender hotel Wundanyi ,TRAINING - WORKSHOP_PERSON,,LOCAL_GOVERNANCE - SCALING - SUB_NATIONAL_POLICY - BUILDING_RELATIONSHIPS,reviewing of Taita Taveta forest policy,45,County government Nature Kenya  CFA Community ,22,23,0,https://radrs.icraf.org/uploaded/media/JPEG_bd6069da-b3b4-40a2-9019-0129976d854e_732237577239593131.jpg,
2024-09-11 10:43:27,2024-09-11,2024-09-09,Silvester Mkamaganga,UKPact_NbS,Kenya,Taita Taveta,Mwatate,Dawida county Hotel,WORKSHOP_PERSON,,SUB_NATIONAL_POLICY,,44,Nature Kenya KFS County Government ,28,16,5,https://radrs.icraf.org/uploaded/media/JPEG_424e2723-22fe-4cde-9339-01dee8e5b8d4_6035792901779811108.jpg,
2024-09-11 10:43:27,2024-09-11,2024-09-09,Silvester Mkamaganga,UKPact_NbS,Kenya,Taita Taveta,Mwatate,Dawida county Hotel,WORKSHOP_PERSON,,SUB_NATIONAL_POLICY,,44,Nature Kenya KFS County Government ,28,16,5,https://radrs.icraf.org/uploaded/media/JPEG_424e2723-22fe-4cde-9339-01dee8e5b8d4_6035792901779811108.jpg,
2024-09-11 10:43:29,2024-09-11,2024-09-06,Silvester Mkamaganga,UKPact_NbS,Kenya,Taita Taveta,Taveta,Green park hotel ,WORKSHOP_PERSON,,SUB_NATIONAL_POLICY,,45,County Government Nature Kenya KFS,29,16,3,https://radrs.icraf.org/uploaded/media/JPEG_187cb7e8-ef7b-42f5-8921-d990e1e05cd8_6575408810429722965.jpg,
2024-09-11 10:43:29,2024-09-11,2024-09-06,Silvester Mkamaganga,UKPact_NbS,Kenya,Taita Taveta,Taveta,Green park hotel ,WORKSHOP_PERSON,,SUB_NATIONAL_POLICY,,45,County Government Nature Kenya KFS,29,16,3,https://radrs.icraf.org/uploaded/media/JPEG_187cb7e8-ef7b-42f5-8921-d990e1e05cd8_6575408810429722965.jpg,
